country_code,year,pc0_last_year,pc1_last_year,log10_gdp_per_capita_constant2010USD_last_year,change_in_pc0,change_in_pc1,change_in_log10_gdp_per_capita_constant2010USD
AGO,1986,-14.294359512619202,-5.013509072283379,3.4106171883552534,2.3314802828113095,0.7814111003642292,-0.0005945950487551421
AGO,1987,-11.962879229807893,-4.23209797191915,3.4100225933064983,0.7688470106712407,0.1313374633157709,0.021359512254468527
AGO,1988,-11.194032219136652,-4.100760508603379,3.431382105560967,-1.4628945957476753,-0.19159580008882937,0.012364710924599455
AGO,1989,-12.656926814884327,-4.2923563086922085,3.4437468164855662,0.253994121305567,0.28131041933823564,-0.009924568498785202
AGO,1990,-12.40293269357876,-4.011045889353973,3.433822247986781,-0.3404822075305259,-1.9512054737297875,-0.01376354048678152
AGO,1991,-12.743414901109286,-5.962251363083761,3.4200587074999995,0.1360351308305212,2.108400339245944,-0.01866401589796851
AGO,1992,-12.607379770278765,-3.8538510238378167,3.401394691602031,0.21263642708849598,-1.2588206134514552,-0.04517191590772419
AGO,1993,-12.39474334319027,-5.112671637289272,3.356222775694307,0.23456182754811475,1.7661121555791472,-0.1375462686658917
AGO,1994,-12.160181515642154,-3.3465594817101247,3.218676507028415,1.1798044430152552,-0.5480452735846542,0.0009892371903927886
AGO,1995,-10.980377072626899,-3.894604755294779,3.219665744218808,-0.7902923637935313,-0.05465986053350225,0.029752631265532067
AGO,1996,-11.77066943642043,-3.949264615828281,3.24941837548434,0.2317094930591903,0.7654140455626526,0.03370452206306318
AGO,1997,-11.53895994336124,-3.1838505702656286,3.283122897547403,0.9613780963955617,-0.7372024942671934,0.02115515343803764
AGO,1998,-10.577581846965678,-3.921053064532822,3.304278050985441,-1.1865278302582496,-0.4211928641360072,0.016797861381030007
AGO,1999,-11.764109677223928,-4.342245928668829,3.321075912366471,1.2072577851125406,2.054945833783808,0.0015455046348327175
AGO,2000,-10.556851892111387,-2.2873000948850213,3.3226214170013035,0.5444771382923791,0.45424006355947016,-0.0002837655838621167
AGO,2001,-10.012374753819008,-1.8330600313255512,3.3223376514174414,-0.32105467193115617,-1.2049217511280699,0.003860100656452481
AGO,2002,-10.333429425750165,-3.037981782453621,3.326197752073894,1.5408329638312603,0.9580280479590851,-0.04605512843356241
AGO,2003,-8.792596461918905,-2.0799537344945356,3.2801426236403315,0.06585049726612448,0.4273440292943182,0.00689722774924828
AGO,2004,-8.72674596465278,-1.6526097052002173,3.2870398513895798,-0.7853542659044663,-0.6485419328103506,0.02933004268617978
AGO,2005,-9.512100230557246,-2.301151638010568,3.3163698940757596,0.6546998622267212,-0.07156228188318313,0.05731326569413842
AGO,2006,-8.857400368330525,-2.372713919893751,3.373683159769898,-1.1802271424736814,-0.7356040493123056,0.06634600003567524
AGO,2007,-10.037627510804207,-3.1083179692060567,3.4400291598055732,2.4950575393311927,-0.12980864820528207,0.07298527065997718
AGO,2008,-7.5425699714730134,-3.238126617411339,3.5130144304655504,-0.5167212323966224,-0.5847943698015324,0.04073183326759766
AGO,2009,-8.059291203869636,-3.8229209872128713,3.553746263733148,0.1285045702812315,-0.2135268821866294,-0.005135971113048311
AGO,2010,-7.930786633588404,-4.036447869399501,3.5486102926200997,0.2851413575285138,0.5719612889770209,-0.0009520526088060421
AGO,2011,-7.6456452760598905,-3.46448658042248,3.5476582400112937,-0.47548775316149783,-0.13885132296626557,0.0011874310335406866
AGO,2012,-8.121133029221388,-3.6033379033887454,3.5488456710448344,0.3349387083858381,-0.8872064490658526,0.006373052426915216
AGO,2013,-7.78619432083555,-4.490544352454598,3.5552187234717496,-1.0680396910157572,0.636979451107448,0.013287977157911078
AGO,2014,-8.854234011851307,-3.85356490134715,3.5685067006296607,-0.5793209608024537,-0.5612358492888903,0.00524286296817067
AGO,2015,-9.433554972653761,-4.41480075063604,3.5737495635978314,0.17885275411483367,0.2985099492967987,-0.0020210477744058153
AGO,2016,-9.254702218538927,-4.116290801339241,3.5717285158234255,0.19301751347935794,0.6076405703556733,-0.01752442863275938
ALB,1981,-0.8326330232074748,-1.11928022421871,3.32441276893165,-1.2543896228779388,0.18671411247048997,0.015563643791935087
ALB,1982,-2.0870226460854133,-0.9325661117482201,3.339976412723585,-2.5573509734415825,-1.2686496213372331,0.0034426087832253316
ALB,1983,-4.644373619526996,-2.201215733085453,3.3434190215068105,1.0160279621264687,2.133257541259229,-0.0044385196454461715
ALB,1984,-3.6283456574005273,-0.06795819182622409,3.3389805018613643,0.01546999679217853,0.3773505899607951,-0.014607198306816118
ALB,1985,-3.6128756606083487,0.3093923981345711,3.324373303554548,-1.2538772605028732,0.07753249040421502,-0.0012638768345545335
ALB,1986,-4.866752921111222,0.3869248885387861,3.3231094267199937,-0.28172420525357283,-0.6248328478027345,0.01542118756801658
ALB,1987,-5.148477126364795,-0.2379079592639484,3.3385306142880102,2.772655364372615,0.0431752788550985,-0.012108140963629666
ALB,1988,-2.3758217619921798,-0.1947326804088499,3.3264224733243806,-1.757987881016409,1.829654307842819,-0.014405240597172408
ALB,1989,-4.133809643008589,1.634921627433969,3.312017232727208,0.7043451722558713,-1.0615855332899027,0.029073642749941175
ALB,1990,-3.4294644707527175,0.5733360941440664,3.3410908754771493,-0.6246094994947389,-0.47076582379289605,-0.051527886648936594
ALB,1991,-4.054073970247456,0.1025702703511703,3.2895629888282127,-1.2563427574215955,0.15230305788124965,-0.1497415042932064
ALB,1992,-5.310416727669052,0.25487332823242,3.1398214845350063,2.001374680114117,-0.4483439327037007,-0.029818311164139022
