,country_code,year,pc0_last_year,pc1_last_year,log10_gdp_per_capita_constant2010USD_last_year,change_in_pc0,change_in_pc1,change_in_log10_gdp_per_capita_constant2010USD,last_year,eci_last_year,countryname,wbgi_gee_last_year,wbgi_rle_last_year,yr_sch_last_year,cognitive_last_year
1477,EGY,1990,-2.359082121698509,1.699419662432473,3.1798309308269412,0.493546065194225,-0.17138117657438312,0.013316871293792332,1989,-0.2562131881713867,"Egypt, Arab Rep.",,,4.2841468,4.0300002
1478,EGY,1991,-1.8655360565042842,1.5280384858580902,3.1931478021207327,0.20562743756328986,0.05256679514218754,-0.005360998020865982,1990,-0.26206642389297485,"Egypt, Arab Rep.",,,4.4142704,4.0300002
1479,EGY,1992,-1.6599086189409942,1.5806052810002775,3.1877868040998667,0.02947691197726265,-0.0019672343854308947,0.009450716779904946,1991,-0.16277579963207245,"Egypt, Arab Rep.",,,4.5555501,4.0300002
1480,EGY,1993,-1.6304317069637315,1.5786380466148466,3.1972375208797716,-0.2530420678177358,-0.08147749930044147,0.003539507270246656,1992,-0.1848347932100296,"Egypt, Arab Rep.",,,4.6968293,4.0300002
1481,EGY,1994,-1.8834737747814676,1.4971605473144052,3.2007770281500187,0.2998155881393276,-0.3050351124271962,0.00835842491623451,1993,-0.3254062831401825,"Egypt, Arab Rep.",,,4.838108999999999,4.0300002
1482,EGY,1995,-1.5836581866421398,1.192125434887209,3.2091354530662533,-0.07033971441567323,0.02935930130281105,0.011320915863782588,1994,-0.16986028850078583,"Egypt, Arab Rep.",,,4.979388200000001,4.0300002
1483,EGY,1996,-1.6539979010578132,1.22148473619002,3.2204563689300363,-0.17004552013308882,0.018139961480412744,0.012911668546872423,1995,-0.5381546020507812,"Egypt, Arab Rep.",,,5.1206679,4.0300002
1484,EGY,1997,-1.8240434211909016,1.2396246976704328,3.2333680374769083,0.2571728193120127,-0.029578475103774867,0.015147255338546106,1996,-0.6186350584030151,"Egypt, Arab Rep.",-0.47367609,0.001262441,5.30196,4.0300002
1485,EGY,1998,-1.5668706018788892,1.210046222566658,3.2485152928154544,-0.26249849630129,0.11338197923795665,0.009203909979689671,1997,-0.34083661437034607,"Egypt, Arab Rep.",,,5.483251999999999,4.0300002
1486,EGY,1999,-1.8293690981801791,1.3234282018046146,3.2577192027951436,0.049334701531170484,-0.06581911935296003,0.01776333462387836,1998,-0.36576443910598755,"Egypt, Arab Rep.",-0.23069221,-0.040467922,5.664544599999999,4.0300002
1487,EGY,2000,-1.7800343966490086,1.2576090824516546,3.2754825374190224,-0.02235458683456426,-0.09006227908452735,0.014687237042203984,1999,-0.4473385810852051,"Egypt, Arab Rep.",,,5.845836599999999,4.0300002
1488,EGY,2001,-1.8023889834835731,1.1675468033671272,3.2901697744612264,0.04618674217882423,0.17511372948100254,0.006958335952913953,2000,-0.3694724142551422,"Egypt, Arab Rep.",-0.21775304,-0.010784123999999999,6.0271287000000004,4.0300002
1489,EGY,2002,-1.756202241304749,1.3426605328481298,3.2971281104141403,0.13107436487710736,-0.0669788161409939,0.001941439701917069,2001,-0.5547733306884766,"Egypt, Arab Rep.",,,6.1533055,4.0300002
1490,EGY,2003,-1.6251278764276411,1.275681716707136,3.2990695501160574,0.40660727594580987,-0.08263791892923589,0.005399003316364669,2002,-0.5759088397026062,"Egypt, Arab Rep.",-0.40601361,0.012345284,6.2794824,4.0300002
1491,EGY,2004,-1.2185206004818314,1.1930437977779,3.3044685534324216,0.28467633249177554,-0.07194283887707778,0.009267413195906292,2003,-0.5038135647773743,"Egypt, Arab Rep.",-0.33662093,0.021365564,6.4056587,4.0300002
1492,EGY,2005,-0.933844267990056,1.1211009589008225,3.3137359666283284,0.16177079636794608,0.06874292158483919,0.011058277721716973,2004,-0.479756623506546,"Egypt, Arab Rep.",-0.26580888,0.019537851000000002,6.5318356,4.0300002
1493,EGY,2006,-0.7720734716221098,1.1898438804856617,3.3247942443500453,0.4296947093602351,-0.30927476125305725,0.021048786347795726,2005,-0.4295058846473694,"Egypt, Arab Rep.",-0.41519418,-0.024182693999999998,6.658012400000001,4.0300002
1494,EGY,2007,-0.3423787622618747,0.8805691192326042,3.345843030697841,0.2747444996243545,-0.004885146583527345,0.022158690936422417,2006,-0.3723702132701874,"Egypt, Arab Rep.",-0.50644022,-0.25781021,6.7562642,4.0300002
1495,EGY,2008,-0.06763426263752025,0.8756839726490768,3.3680017216342635,0.310702695984026,-0.07952923880757012,0.02235595969041837,2007,-0.38986140489578247,"Egypt, Arab Rep.",-0.38912866,-0.22997554,6.854516,4.0300002
1496,EGY,2009,0.2430684333465057,0.7961547338415067,3.390357681324682,-0.1343940838038041,0.4294815720671474,0.011806071737931578,2008,-0.22545213997364044,"Egypt, Arab Rep.",-0.36589515,-0.12925024,6.952768300000001,4.0300002
1497,EGY,2010,0.10867434954270162,1.225636305908654,3.402163753062613,-0.11738762627195636,0.07445055378949884,0.01322357227711546,2009,-0.3683049976825714,"Egypt, Arab Rep.",-0.27950609,-0.10517665,7.0510201,4.0300002
1498,EGY,2011,-0.008713276729254755,1.3000868596981532,3.4153873253397284,0.1261383373963983,-0.0785925727871384,-0.00148484665422588,2010,-0.4346391558647156,"Egypt, Arab Rep.",-0.3705819,-0.17941988,7.149272,4.0300002
1499,EGY,2012,0.11742506066714355,1.2214942869110146,3.413902478685503,-0.3491264070377871,0.025736427180026226,-6.203336395449456e-05,2011,-0.3343912959098816,"Egypt, Arab Rep.",-0.56837839,-0.45204696,,4.0300002
1500,EGY,2013,-0.2317013463706436,1.2472307140910408,3.4138404453215485,0.01684622706777331,0.07273161965811357,-0.0003630674667629564,2012,-0.3304911255836487,"Egypt, Arab Rep.",-0.80849755,-0.4723835,,4.0300002
1501,EGY,2014,-0.21485511930287027,1.3199623337491544,3.4134773778547856,-0.13917357735742478,-0.0543977817661474,0.002892684070374241,2013,-0.21372799575328827,"Egypt, Arab Rep.",-0.8773995000000001,-0.63328201,,4.0300002
1502,EGY,2015,-0.3540286966602951,1.265564551983007,3.4163700619251602,-0.5538951509250045,0.0070731789226941,0.00938444744385514,2014,-0.20100714266300201,"Egypt, Arab Rep.",-0.82267743,-0.6625163000000001,,4.0300002
1503,EGY,2016,-0.9079238475852996,1.2726377309057009,3.425754509369015,-0.19788052683299984,-0.02002967085519436,0.00951585323331594,2015,-0.18177364766597748,"Egypt, Arab Rep.",-0.75222075,-0.59408796,,4.0300002
1504,ESP,1963,2.207247077778058,0.706110095033876,3.94864642479009,0.06924268902580755,0.01232375706754973,0.03598773012673151,1962,0.5588783025741577,Spain,,,4.298235900000001,4.829
1505,ESP,1964,2.276489766803865,0.7184338521014257,3.984634154916821,0.3535344552165389,-0.14557865756353686,0.018147900287043047,1963,0.5878282785415649,Spain,,,4.3585415,4.829
1506,ESP,1965,2.6300242220204044,0.5728551945378889,4.0027820552038635,0.10126521832146552,-0.09987519675963624,0.02162598856535869,1964,0.6771550178527832,Spain,,,4.4188471,4.829
1507,ESP,1966,2.7312894403418704,0.4729799977782527,4.024408043769223,0.19554150830186054,-0.06467726959113451,0.02593405085995126,1965,0.7443668246269226,Spain,,,4.4791527,4.829
1508,ESP,1967,2.9268309486437305,0.40830272818711816,4.0503420946291735,0.19506232611489205,-0.12327111135788947,0.01310752723886832,1966,0.7950980067253113,Spain,,,4.701545200000001,4.829
1509,ESP,1968,3.1218932747586225,0.2850316168292287,4.063449621868043,0.09372922229739664,-0.12918405864211294,0.022065987471301618,1967,0.8244377970695496,Spain,,,4.9239378,4.829
