,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_estimator__lam,param_estimator__n_splines,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.18988895416259766,0.021711444854736327,-1.0927240183744549,-1.2872633109931901,0.00173274973668,16,"{'estimator__lam': 0.001732749736675171, 'estimator__n_splines': 16}",112,-1.443024347172808,-1.3682213946805948,-1.02882586077891,-1.3730417414106586,-0.7848633781218806,-1.2941275332342161,-1.0060307660526255,-1.2146050516398275,-1.1588284665981818,-1.1863208340006546,0.047707831410323795,0.00199796475537464,0.21801851861368018,0.07671750035010862
1,0.6678108215332031,0.052151966094970706,-1.1511894435963994,-1.215712689318444,0.00178852167941,55,"{'estimator__lam': 0.0017885216794147221, 'estimator__n_splines': 55}",147,-1.5201450944521364,-1.2666128809627561,-1.0829456349365538,-1.285395244371306,-0.872679439476999,-1.2232217245053574,-1.042770446443944,-1.1612538332642452,-1.1932386896914904,-1.1420797634885547,0.15384516916091884,0.005283099224650669,0.21829210783249625,0.056374548098522374
2,0.5188921928405762,0.054475831985473636,-1.114399257213924,-1.2536587597994227,0.706244912167,47,"{'estimator__lam': 0.70624491216702301, 'estimator__n_splines': 47}",130,-1.44670136355707,-1.326083267545952,-1.0451699172067197,-1.3294193633045654,-0.8171595097201402,-1.259763748757368,-1.0278726124737854,-1.1879066940612433,-1.1968249487088995,-1.1651207253279856,0.10664175069536003,0.026329300884188184,0.21039207536265014,0.06809488520126958
3,0.45259914398193357,0.03882002830505371,-1.0861485984275336,-1.3383013127653474,247335.404807,38,"{'estimator__lam': 247335.40480704716, 'estimator__n_splines': 38}",54,-1.3930666357682406,-1.4467878061690145,-1.0270720344060391,-1.4292352088705815,-0.7661636718651649,-1.3407507897988398,-1.0153562453598444,-1.2534459618529765,-1.193045288525128,-1.2212867971353243,0.09103770087025197,0.004215822303758234,0.20855265715603627,0.09048438549963142
4,0.6365489482879638,0.04545340538024902,-1.0748627341514234,-1.3006197365262913,737.841205826,56,"{'estimator__lam': 737.84120582624439, 'estimator__n_splines': 56}",26,-1.3939500264243028,-1.3952367899384752,-1.010814459338026,-1.388503707518418,-0.7738610487221816,-1.3039355232270065,-1.0028558721036243,-1.222407599974694,-1.155595761301719,-1.1930150619728621,0.1431204810782024,0.004317365084280632,0.20538442334090207,0.08292512030127996
5,0.4729442119598389,0.039755392074584964,-1.1038952337276444,-1.2658323750214333,1.80220105659,41,"{'estimator__lam': 1.8022010565912412, 'estimator__n_splines': 41}",122,-1.4374226004011283,-1.3437504785269982,-1.0315650330896204,-1.3449407582442074,-0.8042111066752619,-1.2711783551993878,-1.0191518986081347,-1.1967948028376298,-1.1891966124689488,-1.1724974802989425,0.12815834640968837,0.003569522552160293,0.21176449996242502,0.07188259260764128
6,0.6529595851898193,0.05144314765930176,-1.1493309846536353,-1.226718379959345,0.00210409308427,51,"{'estimator__lam': 0.002104093084271241, 'estimator__n_splines': 51}",145,-1.498313974937638,-1.28441817861773,-1.097923227126453,-1.294152957341284,-0.8463336757338773,-1.236082171218023,-1.0447528071684913,-1.1693389326592916,-1.2155251159265048,-1.149599659960397,0.18080303195366015,0.005382514735759613,0.2170443679994671,0.058658447857696895
7,0.8554627418518066,0.06286482810974121,-1.076775431964565,-1.298058427518064,499.024981196,57,"{'estimator__lam': 499.02498119552348, 'estimator__n_splines': 57}",31,-1.3980937502811894,-1.3911483786027234,-1.0105571451249038,-1.3856640249860315,-0.7766838141731335,-1.3014899733066891,-1.0035614070404222,-1.2205564124888453,-1.1577788223983867,-1.1914333482060309,0.20153901789125303,0.006388384296768425,0.20613857479671552,0.08213126698042575
8,0.2584537982940674,0.029062557220458984,-1.0902538184499584,-1.3435461648073919,182221.35483,19,"{'estimator__lam': 182221.35482968955, 'estimator__n_splines': 19}",72,-1.3965475650395343,-1.4517266808926808,-1.0287237221225223,-1.434633573828356,-0.7678082436760393,-1.346093245946238,-1.0201948927599827,-1.2585017534393033,-1.2024950742153484,-1.2267755699303804,0.04048743691010718,0.0040488967517261585,0.20969510312787218,0.09041498935224795
9,0.5062292575836181,0.043103361129760744,-1.0902507595040996,-1.3435408523250412,2876552.31349,43,"{'estimator__lam': 2876552.313493276, 'estimator__n_splines': 43}",71,-1.3965432660756074,-1.4517232740512964,-1.0287227673317831,-1.4346282231564846,-0.7678028694192718,-1.3460882401452385,-1.0201903645367263,-1.2584956243258498,-1.2024948018295112,-1.2267688999463366,0.09049922659216102,0.005190221205606942,0.20969561488729224,0.090415943669264
10,0.2331566333770752,0.02547116279602051,-1.0907851683200267,-1.3442502998752794,751747.939636,20,"{'estimator__lam': 751747.93963592674, 'estimator__n_splines': 20}",78,-1.396999131763003,-1.4523760090102125,-1.0288405324487242,-1.435362259327223,-0.7680341177103177,-1.3467935685539227,-1.0208556099315365,-1.2591795180896292,-1.2037830468567057,-1.2275401443954093,0.05272547059689414,0.0033711165982028236,0.20985247983546407,0.09039615550722688
11,0.30785226821899414,0.03231310844421387,-1.078299330007348,-1.3286004847014818,17185.2063348,27,"{'estimator__lam': 17185.206334832204, 'estimator__n_splines': 27}",39,-1.3855330963537387,-1.436455804944228,-1.0213449769877416,-1.418831309631926,-0.7640788491509988,-1.3307761725571143,-1.0073388706847604,-1.2445250527607066,-1.176700415817389,-1.2124140836134345,0.07056462949040028,0.0033176031619722764,0.20609388013819976,0.08982990987834674
