,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_estimator__lam,param_estimator__n_splines,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.7000988483428955,0.0325960636138916,-0.5146067583461889,-0.5144188959304778,1229537481.7673235,43,"{'estimator__n_splines': 43, 'estimator__lam': 1229537481.7673235}",27,-0.5341972550800709,-0.5077704992894873,-0.5396806367782634,-0.5139432970288587,-0.4978318104986503,-0.5190027996907144,-0.515389431181717,-0.5157627365924659,-0.4787930154874087,-0.5156151470508629,0.14811336019637988,0.0052533764262957736,0.022691140903058862,0.0037061157661924665
1,0.34801578521728516,0.020231008529663086,-0.5146792665565725,-0.5135829394762563,37885.995233252266,21,"{'estimator__n_splines': 21, 'estimator__lam': 37885.995233252266}",65,-0.5345698215205769,-0.5062156632455721,-0.5401671728447244,-0.512950935817121,-0.4978059321095747,-0.5183761101729525,-0.5155450384756101,-0.5152103167469603,-0.4780525613349211,-0.5151616713986755,0.03923095120082366,0.001025538466235685,0.02310325478646349,0.004069187247500444
2,0.6270647525787354,0.029678201675415038,-0.5370192643646154,-0.49343147683782096,0.001204296636694431,43,"{'estimator__n_splines': 43, 'estimator__lam': 0.001204296636694431}",144,-0.5929771291332134,-0.4754569429929756,-0.5644946927566473,-0.4906519373034483,-0.5160656061191099,-0.4997465156983865,-0.520403798314789,-0.5001719751376121,-0.4782217576812655,-0.5011300130566824,0.0968908015735442,0.0015216426277468332,0.040342911218172996,0.009750807146238655
3,0.6530898094177247,0.03078603744506836,-0.5356344949434549,-0.4951128604976576,0.004758665204226608,40,"{'estimator__n_splines': 40, 'estimator__lam': 0.004758665204226608}",141,-0.5913561515175793,-0.47799622626175425,-0.5607881129193052,-0.4924725460967106,-0.5133688328087317,-0.5014681184813217,-0.5207578370026468,-0.5013871586773516,-0.47937407450360764,-0.5022402529711498,0.08736441302003108,0.0024975271845120418,0.039248534001264025,0.00927907617017317
4,0.4721118450164795,0.0252835750579834,-0.514614683804836,-0.5139424235647212,218032.97125452443,28,"{'estimator__n_splines': 28, 'estimator__lam': 218032.97125452443}",62,-0.5343370520433108,-0.5069126727776386,-0.5399109138845276,-0.5133766243072192,-0.4977948182918775,-0.5186406962427417,-0.5154652960498176,-0.5154366262376865,-0.47836669711453333,-0.5153454982583199,0.061716399346423534,0.0016664030221233864,0.02290529946247485,0.003899039658916671
5,0.8627455711364747,0.03803720474243164,-0.5237739494695713,-0.5013852201217301,27.607689339782308,56,"{'estimator__n_splines': 56, 'estimator__lam': 27.607689339782308}",120,-0.558925898677167,-0.48758394841089797,-0.5491976003850672,-0.49940244669641354,-0.5028839542650619,-0.5072154008842503,-0.5196027453625243,-0.5058618999392533,-0.47873171459324565,-0.5068624046778357,0.1747674886941996,0.00216847005016856,0.02959097954698366,0.007462408617414078
6,0.9978382587432861,0.037659215927124026,-0.5386978197627571,-0.49200129503423246,0.011691548253228764,53,"{'estimator__n_splines': 53, 'estimator__lam': 0.011691548253228764}",147,-0.5928133761772924,-0.4726354567691975,-0.5665904309297665,-0.4886307851917055,-0.5172541167606205,-0.4988782227723958,-0.5223418903516831,-0.49932743566115856,-0.48176117260786083,-0.500534574776705,0.20309592146876626,0.0033870000239443537,0.03937652781548242,0.010584681035069257
7,0.31582417488098147,0.019547748565673827,-0.5190505140087563,-0.5067135136876111,11.001665274612325,19,"{'estimator__n_splines': 19, 'estimator__lam': 11.001665274612325}",102,-0.5477096261736233,-0.49525274899921184,-0.5457683768170841,-0.5053967160921191,-0.4984453168745375,-0.5124150754375664,-0.5173866106979446,-0.5098882922141694,-0.47716590558002836,-0.5106147356949886,0.02777855821262876,0.001057057484343998,0.027279509931907905,0.006178829037648609
8,0.6276250362396241,0.02881159782409668,-0.5146088695654378,-0.5144191946189283,3327670708.377966,39,"{'estimator__n_splines': 39, 'estimator__lam': 3327670708.377966}",58,-0.5341932342732968,-0.5077710092229085,-0.5396833562400633,-0.5139436491092106,-0.4978344112876904,-0.5190030288241622,-0.5153941552437419,-0.5157629542089829,-0.47879835829734696,-0.5156153317293769,0.08554189039310375,0.0019258345496316674,0.022689132871408498,0.0037060081606923433
9,0.5733920574188233,0.02733955383300781,-0.5146070649321184,-0.5144191869754696,2170151677.8429537,36,"{'estimator__n_splines': 36, 'estimator__lam': 2170151677.8429537}",34,-0.5341966559969307,-0.5077709963387996,-0.5396809162495221,-0.5139436405229166,-0.4978322022687514,-0.5190030244128708,-0.5153900585638398,-0.5157629478603923,-0.47879398820370106,-0.5156153257423687,0.07103536421516857,0.001299648595133696,0.02269075772433121,0.0037060110655012953
10,0.9295691967010498,0.03817620277404785,-0.5357314282434313,-0.4930884677598126,0.08087190051122482,53,"{'estimator__n_splines': 53, 'estimator__lam': 0.08087190051122482}",142,-0.5872576546456701,-0.474596147641046,-0.5619043429760385,-0.4898708396883032,-0.5147739496042801,-0.4998190163455168,-0.5217635026127884,-0.5000170816565077,-0.4808925142584681,-0.5011392534676891,0.18191126498678772,0.0019029344358127906,0.0375407506749084,0.010103862222829978
